,index,Speed,Location,County,State,Lat,Lon,Comments,datetime
1702,74,UNK,4 W Crossville,Cumberland,TN,35.96,-85.11,House significantly damaged. Tornado possible. (OHX),2023-06-11 21:58:00
1703,75,UNK,2 W Peachtree City,Fayette,GA,33.4,-84.61,Tree down near intersection of Wynnmeade Pkwy and HWY 54. (FFC),2023-06-11 21:59:00
1704,76,UNK,Richmond Hill,Bryan,GA,31.94,-81.3,One tree down in Richmond Hill. Time estimated from radar. (CHS),2023-06-11 22:02:00
1705,77,UNK,3 SSW Clarksville,Montgomery,TN,36.53,-87.36,Photo received via Facebook of tree down. (OHX),2023-06-11 22:02:00
1706,78,UNK,3 W Antioch,Davidson,TN,36.06,-86.73,Photo received via Facebook of roof damage at a home caused by a large fallen tree. (OHX),2023-06-11 22:05:00
1707,79,UNK,2 E Peachtree City,Fayette,GA,33.4,-84.55,Tree down at the intersection of Windgate Road and Robinson Road. (FFC),2023-06-11 22:06:00
1708,80,UNK,Peachtree City,Fayette,GA,33.41,-84.58,Tree down at intersection of Flat Creek Road and Cloister Drive. (FFC),2023-06-11 22:06:00
1709,81,60,6 WSW Richmond Hill,Liberty,GA,31.92,-81.41,Thunderstorm wind damage with tree tops broken off and tree limbs down. Wind speed estimated. Time estimated from radar. (CHS),2023-06-11 22:09:00
1710,82,UNK,1 S Lily,Laurel,KY,37.0,-84.07,A tree was reported to have been blown down onto KY 2392. (JKL),2023-06-11 22:10:00
1711,83,UNK,7 NW Colt,Cross,AR,35.18,-90.91,Corrects previous tstm wnd dmg report from 6 WNW Colt. Corrects previous tstm wnd dmg report from 6 WNW Colt. A roof was blown off of a home and a few semi trailers wer (MEG),2023-06-11 22:15:00
1712,84,UNK,7 WSW Wynne,Cross,AR,35.21,-90.9,One house along Highway 193 had roof damage. Five 18-wheelers were blown down. (MEG),2023-06-11 22:15:00
1713,85,UNK,6 ENE Fair Oaks,Cross,AR,35.25,-90.93,A roof was blown off of a home and a few semi trailers were overturned along Highway 193. (MEG),2023-06-11 22:15:00
1714,86,UNK,1 SW LEBANON,WARREN,OH,39.42,-84.22,LARGE TREE UPROOTED. PHOTO VERIFIED. TIME ESTIMATED FROM RADAR. (ILN),2023-06-11 22:18:00
1715,87,UNK,Murfreesboro,Rutherford,TN,35.85,-86.39,Photo received via Facebook of snapped tree. (OHX),2023-06-11 22:20:00
1716,88,60,3 E Argenta,Lander,NV,40.67,-116.69,Station (UP991) MOSEL1 upr... Elevation 4582 feet. (LKN),2023-06-11 22:27:00
1717,89,UNK,Franklin,Simpson,KY,36.72,-86.58,Several trees and powerlines down over roadways in Franklin. (LMK),2023-06-11 22:29:00
1718,90,58,18 NNE CALLAO,TOOELE,UT,40.12,-113.53,CAUSEWAY SENSOR (SLC),2023-06-11 22:35:00
1719,91,UNK,CARLISLE,WARREN,OH,39.58,-84.32,VERY LARGE BRANCH DOWN. TIME ESTIMATED FROM RADAR. PHOTO VERIFIED. (ILN),2023-06-11 22:40:00
1720,92,UNK,5 SW MIAMISBURG,WARREN,OH,39.58,-84.33,NUMEROUS BRANCHES LARGER THAN 3 INCHES DOWN NEAR THE MARATHON GAS STATION. TIME ESTIMATED BY RADAR. (ILN),2023-06-11 22:40:00
1721,93,UNK,4 SW MIAMISBURG,WARREN,OH,39.59,-84.32,SEVERAL OUTBUILDINGS AT CARLISLE JUNIOR SENIOR HIGH SCHOOL WERE DAMAGED. (ILN),2023-06-11 22:40:00
1722,94,UNK,3 S Oak Hill,Davidson,TN,36.04,-86.79,Downed trees off Old Hickory Blvd. in Brentwood. (OHX),2023-06-11 22:45:00
1723,95,UNK,2 SE Fort Caroline,Duval,FL,30.36,-81.48,Delayed Report: Photos shared from the public of a tree snapped on private property. Another image also shows downburst-like cloud signature over the area. Time estimat (JAX),2023-06-11 22:50:00
1724,96,UNK,5 NNE Belinda City,Wilson,TN,36.23,-86.43,Tree branches estimated to be two inches in diameter down near Lebanon Road and Highway 109. Time estimated. (OHX),2023-06-11 22:50:00
1725,97,UNK,3 ENE Green Hill,Wilson,TN,36.25,-86.52,Video shared by FOX17 shows thunderstorm wind damage at the Cedar Creek Yacht Club with damaging winds knocking down an outbuilding wall. Time estimated via radar. (OHX),2023-06-11 22:50:00
1726,98,UNK,1 SSW Inglewood,Davidson,TN,36.19,-86.74,Photo received via Facebook of damage caused by a large fallen tree at Eastwood Greene Apartments. (OHX),2023-06-11 22:51:00
1727,99,UNK,Marked Tree,Poinsett,AR,35.53,-90.42,Corrects previous tstm wnd dmg report from Marked Tree. Trees and powerlines down in Marked Tree. Several trees down in the cemetery. Damage to Central Baptist Church. (MEG),2023-06-11 22:53:00
1728,100,UNK,1 SSW Inglewood,Davidson,TN,36.19,-86.74,Corrects previous tstm wnd dmg report from 1 SSW Inglewood. Photo received via Facebook of damage caused by a large fallen tree at Eastwood Greene Apartments. (OHX),2023-06-11 22:53:00
1729,101,UNK,1 ENE Marshes Siding,McCreary,KY,36.75,-84.47,A tree was reported to have been blown down onto Sandhill Road. (JKL),2023-06-11 23:00:00
1730,102,60,1 WSW Gladeville,Wilson,TN,36.11,-86.42,(OHX),2023-06-11 23:03:00
1731,103,UNK,3 W Antioch,Davidson,TN,36.06,-86.73,Corrects previous tstm wnd dmg report from 3 W Antioch. Photo received via Facebook of roof damage at a home caused by a large fallen tree. (OHX),2023-06-11 23:05:00
1732,104,UNK,1 NNW Lilburn,Gwinnett,GA,33.91,-84.16,Tree down blocking roadway at intersection of Navajo Court and Indian Way. (FFC),2023-06-11 23:08:00
1733,105,UNK,1 SW Hog Mountain,Gwinnett,GA,34.04,-83.94,Tree down blocking roadway at intersection of Vinings Court and Paces Vale Place. (FFC),2023-06-11 23:08:00
1734,106,UNK,3 SSW Holly Springs,Marshall,MS,34.73,-89.48,A utility pole and some power lines were knocked down along Old Highway 4. (MEG),2023-06-11 23:10:00
1735,107,UNK,1 NE Krupp,Whitley,KY,36.8,-84.23,A tree was blown down near the intersection of KY 895 and KY 204. (JKL),2023-06-11 23:13:00
1736,108,63,Mayport,Duval,FL,30.38,-81.42,AWOS station KNRB Mayport Naval Station. (JAX),2023-06-11 23:14:00
1737,109,UNK,4 WNW HUBER HEIGHTS,MONTGOMERY,OH,39.88,-84.19,LARGE MAPLE TREE DOWNED. TIME ESTIMATED FROM RADAR. (ILN),2023-06-11 23:17:00
1738,110,UNK,1 NNE Wofford,Whitley,KY,36.79,-84.13,A tree was down near the intersection of KY 26 and New Zion Road and another tree was down nearby on New Zion Road. (JKL),2023-06-11 23:22:00
1739,111,UNK,1 SSE TIPP CITY,MIAMI,OH,39.94,-84.17,ROOF DAMAGE TO HOUSE. PHOTO VERIFIED. TIME ESTIMATED FROM RADAR. POSSIBLE TORNADO. (ILN),2023-06-11 23:23:00
1740,112,UNK,4 WNW Sunbright,Morgan,TN,36.27,-84.74,Trees down. (MRX),2023-06-11 23:25:00
1741,113,UNK,Murfreesboro,Rutherford,TN,35.85,-86.39,Corrects previous tstm wnd dmg report from Murfreesboro. Photo received via Facebook of snapped tree. (OHX),2023-06-11 23:35:00
1742,114,UNK,CHRISTIANSBURG,CHAMPAIGN,OH,40.06,-84.03,SEVERAL TREES DOWN. PHOTO VERIFIED. POSSIBLE TORNADO. TIME ESTIMATED FROM RADAR. (ILN),2023-06-11 23:35:00
1743,115,UNK,4 N Germantown,Shelby,TN,35.14,-89.8,Six power poles were severely bent on Germantown Parkway south of Macon Road. (MEG),2023-06-11 23:38:00
1744,116,UNK,2 S Elgin,Scott,TN,36.31,-84.61,A few trees down near Coal Hill Road and Campground Road intersection. Time estimated from radar. (MRX),2023-06-11 23:40:00
1745,117,UNK,1 WSW Chenoa,Bell,KY,36.66,-83.88,A tree was blown down onto powerlines near 283 Hubbard Hollow Road. (JKL),2023-06-11 23:43:00
1746,118,UNK,2 SE Wheeler,Bell,KY,36.71,-83.82,A tree was blown down along KY 92 in this vicinity. (JKL),2023-06-11 23:46:00
1747,119,UNK,3 WNW Thrashers,Prentiss,MS,34.72,-88.53,The roof of a skating rink was blown down in Thrasher. Several trees were knocked down in the area. (MEG),2023-06-11 23:50:00
1748,120,UNK,4 W Munford,Tipton,TN,35.45,-89.87,A utility pole was snapped on Drummonds Road. (MEG),2023-06-11 23:52:00
1749,121,61,5 ENE Fort Irwin,San Bernardino,CA,35.29,-116.61,At 1655 and 1657 PDT... the BYS ASOS recorded thunderstorm wind gusts of 61 mph. (VEF),2023-06-11 23:55:00
1750,122,66,1 ESE DELLE,TOOELE,UT,40.76,-112.76,I-80 AT MP71 MESONET SITE. (SLC),2023-06-12 00:00:00
1751,123,63,1 W DELLE,TOOELE,UT,40.77,-112.8,I-80 AT MP68 MESONET SITE. (SLC),2023-06-12 00:00:00
1752,124,UNK,1 ESE DELLE,TOOELE,UT,40.76,-112.76,UDOT REPORTED AN RV TRAILER ROLLING OVER ON I-80. SENSOR NEAR THIS ROLLOVER REPORTED A 66 MPH WIND GUST AROUND THIS TIME. (SLC),2023-06-12 00:04:00
1753,125,UNK,1 NW Independence,Tate,MS,34.71,-89.81,Trees down in the Independence area. Trees down across Sycamore Road and Highway 305 at Independence Road. (MEG),2023-06-12 00:05:00
1754,126,UNK,1 W Atoka,Tipton,TN,35.45,-89.79,Powerlines were knocked down on cars just north of the Highway 51 and Walker Crossroad intersection in Atoka. Tree limbs were also down on Highway 51 in the Atoka area. (MEG),2023-06-12 00:05:00
1755,127,60,10 W KNOLLS,TOOELE,UT,40.73,-113.47,I-80 AT DUGWAY MESONET SITE. (SLC),2023-06-12 00:10:00
1756,128,66,1 ESE DELLE,TOOELE,UT,40.76,-112.76,I-80 AT MP71 MESONET SITE. (SLC),2023-06-12 00:10:00
1757,129,63,1 W DELLE,TOOELE,UT,40.77,-112.8,I-80 AT MP68 MESONET SITE. (SLC),2023-06-12 00:10:00
1758,130,UNK,5 W Ewing,Lee,VA,36.63,-83.52,A few Trees down along Baileytown Road. Time estimated from radar. (MRX),2023-06-12 00:15:00
1759,131,58,18 ESE LAKESIDE,BOX ELDER,UT,41.07,-112.59,HAT ISLAND MESONET SITE. (SLC),2023-06-12 00:20:00
1760,132,UNK,4 ESE Independence,Tate,MS,34.67,-89.74,Tree and powerline down at Tate-Marshall Road at Clanton Road. (MEG),2023-06-12 00:21:00
1761,133,58,1 N Westworth,Tarrant,TX,32.78,-97.42,FORT WORTH NAS...TX (NFW) ASOS reports gust of 50.0 knots. (FWD),2023-06-12 00:30:00
1762,134,UNK,4 E Etta,Union,MS,34.47,-89.13,Broken utility pole and downed lines along Highway 30 near County Road 56 west of New Albany. (MEG),2023-06-12 00:31:00
1763,135,UNK,3 S Fair Oaks,Cross,AR,35.19,-91.03,Some grain hoppers were overturned in the Penrose area. (MEG),2023-06-12 00:38:00
1764,136,UNK,1 ESE Peepace Store,Harlan,KY,36.72,-83.31,A tree was reported to have been blown down on KY 987. The even time is radar estimated. (JKL),2023-06-12 00:39:00
1765,137,UNK,7 NW Colt,Cross,AR,35.18,-90.91,Corrects previous tstm wnd dmg report from 6 WNW Colt. A roof was blown off of a home and a few semi trailers were overturned. (MEG),2023-06-12 00:40:00
1766,138,UNK,1 W Lawrenceburg,Lawrence,TN,35.24,-87.36,Corrects previous tstm wnd dmg report from 1 W Lawrenceburg. Photos received via Facebook of a tree on top of a house. (OHX),2023-06-12 00:40:00
1767,139,UNK,Stanton,Haywood,TN,35.46,-89.4,Trees and powerlines down on Cherry St in Stanton. (MEG),2023-06-12 00:40:00
1768,140,60,10 W KNOLLS,TOOELE,UT,40.73,-113.47,I-80 AT DUGWAY MESONET SITE. (SLC),2023-06-12 00:40:00
1769,141,UNK,1 W Lawrenceburg,Lawrence,TN,35.24,-87.36,Photos received via Facebook of a tree on top of a house. (OHX),2023-06-12 00:42:00
1770,142,58,Albany,Shackelford,TX,32.73,-99.3,Mesonet site reported 58 MPH winds at 7:52 PM CDT. (SJT),2023-06-12 00:50:00
1771,143,63,18 ESE LAKESIDE,BOX ELDER,UT,41.07,-112.59,HAT ISLAND MESONET SITE. (SLC),2023-06-12 00:50:00
1772,144,UNK,5 W Etta,Lafayette,MS,34.47,-89.28,Trees down on County Road 268. (MEG),2023-06-12 00:55:00
1773,145,UNK,Coldwater,Tate,MS,34.69,-89.97,Several trees were blown down along Hill Road. (MEG),2023-06-12 00:55:00
1774,146,UNK,1 NNE Minor Hill,Giles,TN,35.05,-87.16,Tree fell through home. (OHX),2023-06-12 00:55:00
1775,147,UNK,Kellioka,Harlan,KY,36.9,-83.24,Dispatcher at the Harlan County 24-Warning Point received a report of a tree down across KY-522 blocking both lanes. (JKL),2023-06-12 00:56:00
1776,148,UNK,3 W Smokey Junction,Scott,TN,36.29,-84.42,Numerous trees down in southern and southeast part of Scott County. (MRX),2023-06-12 01:08:00
1777,149,UNK,Pennington Gap,Lee,VA,36.76,-83.03,Trees were blown down just west of Pennington Gap... VA. (MRX),2023-06-12 01:15:00
1778,150,UNK,3 SSW Tupelo,Lee,MS,34.23,-88.74,spotter reports shutter damage to a home in southwest Tupelo. A few large tree branches down. (MEG),2023-06-12 01:18:00
1779,151,UNK,2 E Tupelo,Lee,MS,34.26,-88.7,Corrects previous tstm wnd dmg report from 2 E Tupelo. Trees and power lines down in central Tupelo. One tree on a house with minor injuries. (MEG),2023-06-12 01:20:00
1780,152,59,9 ESE DELLE,TOOELE,UT,40.74,-112.62,I-80 AT MP78 MESONET SITE. (SLC),2023-06-12 01:20:00
1781,153,UNK,1 N Knoxville,Knox,TN,36.0,-83.94,Multiple reports of downed trees and power outages around Downtown Knoxville through East Knox County. (MRX),2023-06-12 01:22:00
1782,154,66,1 E Happy,Swisher,TX,34.74,-101.84,West Texas Mesonet at Happy 1E. (LUB),2023-06-12 01:29:00
1783,155,UNK,3 S Fincastle,Campbell,TN,36.36,-84.05,Trees down along Cedar Creek Road. East of La Follette. Time estimated by radar. (MRX),2023-06-12 01:30:00
1784,156,UNK,3 SW New Salem,Itawamba,MS,34.12,-88.39,Roof taken off of boathouse. A few tree branches were snapped. Estimated wind speed of 65 mph. (MEG),2023-06-12 01:45:00
1785,157,UNK,Ingram,Bell,KY,36.74,-83.8,Corrects previous tstm wnd dmg report from 2 SE Wheeler. A tree was blown down along KY 92 in this vicinity. (JKL),2023-06-12 01:47:00
1786,158,UNK,6 NW Dayton,Rhea,TN,35.56,-85.08,County dispatch reported multiple trees and power lines down in the county... especially in the southern end of the county. Time estimated from Radar. (MRX),2023-06-12 01:50:00
1787,159,UNK,5 W Karns,Knox,TN,35.97,-84.2,Tree blown down blocking two lanes of road. (MRX),2023-06-12 01:50:00
1788,160,58,3 SSE Boise City,Cimarron,OK,36.69,-102.5,(AMA),2023-06-12 01:50:00
1789,161,62,9 ESE DELLE,TOOELE,UT,40.74,-112.62,I-80 AT MP78 MESONET SITE. (SLC),2023-06-12 01:50:00
1790,162,UNK,Byrd,Marion,AL,34.08,-88.13,Trees down in SW Marion County. Tree across road in vicinity of Highway 19. Power outages reported in area. (BMX),2023-06-12 02:00:00
1791,163,UNK,4 ENE Huntsville,Madison,AL,34.72,-86.56,Tree down near Montdale Rd and Big Cove Dr. (HUN),2023-06-12 02:00:00
1792,164,UNK,3 ENE Huntsville,Madison,AL,34.72,-86.58,Power line down along Lowe Ave. (HUN),2023-06-12 02:00:00
1793,165,UNK,3 ENE Huntsville,Madison,AL,34.72,-86.59,Power line down along St. Clair Ave. (HUN),2023-06-12 02:00:00
1794,166,UNK,3 NE Huntsville,Madison,AL,34.73,-86.59,Tree down on back patio at WHNT. (HUN),2023-06-12 02:00:00
1795,167,UNK,7 WNW Gurley,Madison,AL,34.74,-86.48,Tree snapped in half along dug hill road. Photo via social media. (HUN),2023-06-12 02:00:00
1796,168,UNK,3 NNE Huntsville,Madison,AL,34.74,-86.6,Power line down at University and Pulaski Pike. (HUN),2023-06-12 02:00:00
1797,169,UNK,4 NE Huntsville,Madison,AL,34.75,-86.57,Power line down near Oakwood and Minor. (HUN),2023-06-12 02:00:00
1798,170,UNK,4 NE Huntsville,Madison,AL,34.75,-86.58,Tree down on house at Intersection of Russel and Rison. (HUN),2023-06-12 02:00:00
1799,171,UNK,3 N Huntsville,Madison,AL,34.76,-86.63,Tree down along Shady Ln Dr. Time estimated based on radar. (HUN),2023-06-12 02:00:00
1800,172,UNK,2 ENE Inmanfield,Winston,AL,34.26,-87.16,Power lines down on County Road 43. (BMX),2023-06-12 02:02:00
1801,173,62,Vigo Park,Swisher,TX,34.65,-101.5,West Texas Mesonet at Vigo Park. (LUB),2023-06-12 02:04:00
1802,174,UNK,3 ESE Bearden,Knox,TN,35.92,-83.96,Several trees blown down across Knox County... with at least one blocking a roadway. (MRX),2023-06-12 02:10:00
1803,175,UNK,7 WNW Gurley,Madison,AL,34.76,-86.47,Tree down blocking Wall Rd near HWY 72E. Time estimated by radar. (HUN),2023-06-12 02:11:00
1804,176,UNK,5 ENE Huntsville,Madison,AL,34.72,-86.55,Large tree branch down blocking part of the road. (HUN),2023-06-12 02:14:00
1805,177,UNK,3 W Houston,Chickasaw,MS,33.89,-89.06,A carport was torn from a building and a few trees were uprooted at a residence on Highway 8. Time is radar estimated. (MEG),2023-06-12 02:20:00
1806,178,UNK,4 SW Rose Hill,Lee,VA,36.66,-83.35,Tree down along Balls Chapel Rd. Time estimated by radar. (MRX),2023-06-12 02:23:00
1807,179,UNK,1 SE Sweetwater,Monroe,TN,35.59,-84.46,Several trees down and damage to a porch in Sweetwater. Homeowner sent pictures. Time estimated from radar. (MRX),2023-06-12 02:25:00
1808,180,UNK,1 NE Vernon,Lamar,AL,33.77,-88.11,Power lines down along Beaver Creek Road and trees down near Vernon. (BMX),2023-06-12 02:26:00
1809,181,UNK,2 NE Vardaman,Calhoun,MS,33.9,-89.16,Couple of trees down and minor damage to siding on home. (MEG),2023-06-12 02:28:00
1810,182,UNK,Winfield,Marion,AL,33.93,-87.82,Roof damage and power lines down in Winfield. (BMX),2023-06-12 02:28:00
1811,183,UNK,5 N Eagleton Village,Blount,TN,35.87,-83.93,Trees down next to Flex-N-Gate Company in Rockford TN. Power poles broken. Reported by Trained Spotter. (MRX),2023-06-12 02:34:00
1812,184,UNK,Woodland,Chickasaw,MS,33.79,-89.06,Large tree down on a home in the Woodland area. (MEG),2023-06-12 02:38:00
1813,185,UNK,Hubbertville,Fayette,AL,33.83,-87.74,Tree down on Highway 129 near Hubbertville High School. Another tree down on Highway 102. (BMX),2023-06-12 02:38:00
1814,186,UNK,3 SE Pyland,Chickasaw,MS,33.86,-89.08,Significant damage to a manufactured home on County Road 416. (MEG),2023-06-12 02:38:00
1815,187,UNK,2 NNE Pyland,Chickasaw,MS,33.91,-89.1,Tree knocked down across County Road 424 west of Houston. (MEG),2023-06-12 02:38:00
1816,188,UNK,3 NNE Woodland,Chickasaw,MS,33.83,-89.04,Trees down across Anchor Road. Powerlines down. (MEG),2023-06-12 02:40:00
1817,189,UNK,Houston,Chickasaw,MS,33.9,-89.0,Trees down on two vehicles on Jackson Street. (MEG),2023-06-12 02:42:00
1818,190,UNK,5 ENE Woodland,Chickasaw,MS,33.82,-88.98,An uprooted tree destroyed a manufactured home. (MEG),2023-06-12 02:45:00
1819,191,UNK,2 E Mantee,Clay,MS,33.74,-89.03,Clay County Dispatch reported multiple trees down along Natchez Trace Pkwy. (JAN),2023-06-12 02:50:00
1820,192,UNK,Emhouse,Navarro,TX,32.16,-96.58,Reports of large trees and power lines down near Emhouse... TX to Corbet... TX. (FWD),2023-06-12 02:55:00
1821,193,UNK,Bogata,Red River,TX,33.48,-95.21,A power line was downed in Bogata... setting a tree on fire. (SHV),2023-06-12 03:01:00
1822,194,UNK,1 NNW Starkville,Oktibbeha,MS,33.46,-88.82,Corrects previous tstm wnd dmg report from 1 NNW Starkville. Large tree limb is down in the roadway on Earnest Jones Dr. (JAN),2023-06-12 03:12:00
1823,195,UNK,2 SE Collegedale,Hamilton,TN,35.02,-85.03,Numerous trees and powerlines down in Apison... TN. Location at intersection of Bill Jones Road... Park Place and Old East Brainerd Road. Pictures from social media. Ti (MRX),2023-06-12 03:15:00
1824,196,UNK,1 NE Starkville,Oktibbeha,MS,33.46,-88.8,mPING reports wind damage similar to tree limbs broken and shingles blown off near Starkville. (JAN),2023-06-12 03:22:00
1825,197,UNK,4 NW Oktoc,Oktibbeha,MS,33.38,-88.81,mPing reports wind damage similar to tree limbs broken and shingles blown off near Token Rd. (JAN),2023-06-12 03:24:00
1826,198,UNK,2 SSW Artesia,Lowndes,MS,33.4,-88.65,Lowndes County SO reported multiple trees and power lines down near the 10 block of Schlater Rd. (JAN),2023-06-12 03:32:00
1827,199,UNK,3 NNW St. Clair Springs,St. Clair,AL,33.8,-86.42,Trees down around Springville. (BMX),2023-06-12 03:35:00
1828,200,UNK,3 NE Wayside,Washington,MS,33.3,-90.99,Washington County SO reported a few trees down along Wilmont Rd. (JAN),2023-06-12 03:54:00
1829,201,UNK,3 ESE Greenville,Washington,MS,33.4,-91.01,Corrects previous tstm wnd dmg report from 3 ESE Greenville. Washington County SO reported damage at the Holiday Inn and trees down near Greenville. (JAN),2023-06-12 03:54:00
1830,202,UNK,Bogata,Red River,TX,33.48,-95.21,Corrects previous tstm wnd dmg report from Bogata. A power line was downed in Bogata... setting a tree on fire. (SHV),2023-06-12 04:01:00
1831,203,UNK,3 WSW Armuchee,Floyd,GA,34.38,-85.23,Couple of trees down on Texas Valley Rd NW near Heath Creek. (FFC),2023-06-12 04:05:00
1832,204,UNK,3 NNE Armuchee,Floyd,GA,34.43,-85.15,Tree down near intersection of Ted Donath Rd and Floyd Springs Rd NE. (FFC),2023-06-12 04:05:00
1833,205,UNK,1 SSW Armuchee,Floyd,GA,34.37,-85.19,Tree down near intersection of Little Texas Valley Rd NW and Mountain Rd NW. (FFC),2023-06-12 04:06:00
1834,206,UNK,4 NW Rome,Floyd,GA,34.29,-85.24,Tree down near intersection of Gray Rock Rd NW and Green Leaf Trail. (FFC),2023-06-12 04:07:00
1835,207,UNK,2 SW Armuchee,Floyd,GA,34.37,-85.2,Tree down near intersection of Little Texas Valley Rd NW and Scenic Trace Dr NW. (FFC),2023-06-12 04:10:00
1836,208,UNK,Bluff Park,Jefferson,AL,33.4,-86.86,Reports of trees down near Shades Crest Road. (BMX),2023-06-12 04:12:00
1837,209,UNK,1 SW Vestavia Hills,Jefferson,AL,33.42,-86.8,Numerous reports of trees down in the Hoover/Vestavia Hills area. (BMX),2023-06-12 04:12:00
1838,210,UNK,5 ESE Lindale,Floyd,GA,34.16,-85.09,Report of tree down on Abrams Road. (FFC),2023-06-12 04:13:00
1839,211,UNK,4 SSE Armuchee,Floyd,GA,34.34,-85.16,Tree down near intersection of Old Dalton Rd NE and Lewis Rd NE. (FFC),2023-06-12 04:13:00
1840,212,UNK,4 S Shannon,Floyd,GA,34.28,-85.06,Report of tree down in road near intersection of Morrison Camp Ground Rd NE and Ward Mountain Rd. (FFC),2023-06-12 04:15:00
1841,213,UNK,3 SW Shannon,Floyd,GA,34.31,-85.11,Tree down across outer northbound lane near intersection of Willow Rd and GA-53. (FFC),2023-06-12 04:15:00
1842,214,UNK,4 S Armuchee,Floyd,GA,34.34,-85.19,Report of trees down and small building knocked over at Stone Bridge Golf Course. (FFC),2023-06-12 04:15:00
1843,215,UNK,1 N Central,Pickens,SC,34.73,-82.78,A couple of trees were blown down. (GSP),2023-06-12 04:15:00
1844,216,UNK,1 WSW Pinson,Floyd,GA,34.36,-85.07,Couple of trees down near intersection of Gaines Rd and McFry Ln NE. (FFC),2023-06-12 04:19:00
1845,217,UNK,Riverchase,Shelby,AL,33.35,-86.81,Tree on house on Riverchase Pkwy. (BMX),2023-06-12 04:20:00
1846,218,60,4 WNW Stratford,Sherman,TX,36.36,-102.13,(AMA),2023-06-12 04:27:00
1847,219,UNK,2 S Dacusville,Pickens,SC,34.9,-82.55,A tree was blown onto a power line. (GSP),2023-06-12 04:30:00
1848,220,UNK,Columbiana,Shelby,AL,33.18,-86.62,Tree down reports in various locations across Shelby County. (BMX),2023-06-12 04:40:00
1849,221,UNK,Whitney,Hill,TX,31.95,-97.32,Received a report of a tree that had fallen onto a house in Whitney. No information on injuries. (FWD),2023-06-12 04:42:00
1850,222,UNK,6 WNW Williamston,Anderson,SC,34.65,-82.57,At least a couple of trees down in the vicinity of I-85. (GSP),2023-06-12 04:45:00
1851,223,UNK,2 WSW Matt,Forsyth,GA,34.29,-84.18,Report from mPING: 1-inch tree limbs broken; Shingles blown off. (FFC),2023-06-12 05:11:00
1852,224,UNK,1 E Central Mills,Dallas,AL,32.29,-87.43,Multiple trees down at Hwy 66 and CR 109 near Central Mills via social media. (BMX),2023-06-12 06:18:00
1853,225,UNK,Franklin,Macon,AL,32.46,-85.8,Trees blown down in the Franklin community. (BMX),2023-06-12 06:30:00
1854,226,UNK,Tuskegee,Macon,AL,32.42,-85.69,Trees blown down in and around Tuskegee. (BMX),2023-06-12 06:39:00
1855,227,71,3 SW Dalhart,Hartley,TX,36.02,-102.55,(AMA),2023-06-12 08:10:00
1856,228,UNK,3 NNE Dawson,Terrell,GA,31.81,-84.42,A downed tree resulted in a power outage. (TAE),2023-06-12 08:55:00
1857,229,UNK,1 WNW Forrester,Lee,GA,31.65,-84.18,Three transformers blew near the Publix. (TAE),2023-06-12 09:10:00
1858,230,UNK,2 N Graball,Henry,AL,31.61,-85.28,Henry Co dispatch reports trees down on 431 between CR 133 and 214. (TAE),2023-06-12 09:19:00
1859,231,UNK,2 NNE Abbeville Municip,Henry,AL,31.62,-85.23,Henry Co Dispatch reports trees down on Hwy 95 between 37 and CR214. (TAE),2023-06-12 09:19:00
1860,232,UNK,3 SSW Dudley,Laurens,GA,32.51,-83.09,Large tree down on Hwy 338 near Campbell Rd. (FFC),2023-06-12 09:35:00
1861,233,UNK,2 N Red Rock,Worth,GA,31.6,-83.94,Worth Co 911 reports a power line down on Pearson Rd near Woodcrest Rd. (TAE),2023-06-12 09:41:00
1862,234,UNK,2 N Sumner,Worth,GA,31.54,-83.74,Numerous power outages in Mitchell EMC service area due to severe storms with downed and sagging power lines. (TAE),2023-06-12 09:51:00
1863,235,UNK,4 NE Pridgen,Coffee,GA,31.74,-82.88,Tree down across Old River Rd near George Solomon Rd. Time estimated from report and radar. (JAX),2023-06-12 10:15:00
1864,236,UNK,Greenough,Mitchell,GA,31.32,-84.1,Numerous power outages in Mitchell EMC service area due to severe storms with downed and sagging power lines. (TAE),2023-06-12 11:00:00
1865,237,UNK,3 SW Bay,Colquitt,GA,31.16,-83.95,Tree down at Merritt Road and Thigpen Trail. (TAE),2023-06-12 11:12:00
1866,0,UNK,2 NNW Ponce de Leon,Holmes,FL,30.75,-85.95,A few trees and power lines were blown down in western Holmes county. (TAE),2023-06-12 12:30:00
1867,1,UNK,Durant,Bryan,OK,34.0,-96.39,Delayed report. Small tree limbs and powerlines down due to thunderstorm wind. (OUN),2023-06-12 14:08:00
1868,2,UNK,Bokchito,Bryan,OK,34.02,-96.14,Damage to several trees and a small greenhouse damaged. (OUN),2023-06-12 14:20:00
1869,3,60,Wacissa,Jefferson,FL,30.36,-83.99,Social media report of estimated wind gusts of 50 to 60 mph. (TAE),2023-06-12 16:30:00
1870,4,UNK,5 NW Bailey,Fannin,TX,33.5,-96.22,emergency manager reported a tree caused damage to a home and powerlines near private road 282. outflow winds are estimated to be around 40-50mph. (FWD),2023-06-12 16:40:00
1871,5,UNK,Pleasant Hill,Sabine,LA,31.82,-93.52,trees and power lines down. (SHV),2023-06-12 18:15:00
1872,6,UNK,Pleasant Hill,Sabine,LA,31.82,-93.52,Corrects previous tstm wnd dmg report from Pleasant Hill. trees and power lines down. (SHV),2023-06-12 18:18:00
